F,G,H,L,M,N,sigma0,k,n
0.1117,0.381,0.619,1.5,1.5,2.543,159.65,440.43,0.197
0.2157,0.1565,0.8435,1.5,1.5,1.6526,203.25,546.13,0.192
0.1629,0.157,0.843,1.5,1.5,1.2132,211.78,434.13,0.268
0.2406,0.2251,0.7749,1.5,1.5,1.2604,143.54,543.89,0.246
0.2493,0.249,0.751,1.5,1.5,2.1169,213.47,519.8,0.277
0.2925,0.176,0.824,1.5,1.5,1.4828,127.45,473.06,0.223
0.5395,0.2355,0.7645,1.5,1.5,2.1328,273.16,613.18,0.252
0.4686,0.2756,0.7244,1.5,1.5,2.8151,184.67,459.98,0.208
0.1768,0.2483,0.7517,1.5,1.5,2.2407,203.94,591.47,0.159
0.2368,0.2286,0.7714,1.5,1.5,2.639,203.74,533.41,0.273
0.2802,0.2445,0.7555,1.5,1.5,1.9567,208.92,642.41,0.243
0.1802,0.3012,0.6988,1.5,1.5,1.9248,152.12,590.11,0.196
0.4901,0.2786,0.7214,1.5,1.5,1.3598,148.81,637.74,0.209
0.4331,0.4509,0.5491,1.5,1.5,1.6865,141.92,534.55,0.205
0.1223,0.2759,0.7241,1.5,1.5,1.6655,125.12,602.04,0.299
0.1479,0.2849,0.7151,1.5,1.5,2.2901,120.64,392.65,0.163
0.2157,0.3392,0.6608,1.5,1.5,2.2933,148.06,363.19,0.186
1.1149,0.1639,0.8361,1.5,1.5,4.3681,173.76,498.18,0.293
0.3002,0.202,0.798,1.5,1.5,3.2287,276.6,613.21,0.245
0.2456,0.2434,0.7566,1.5,1.5,1.1829,145.28,481.12,0.205
0.1786,0.1523,0.8477,1.5,1.5,1.1376,134.86,529.81,0.203
0.1953,0.2385,0.7615,1.5,1.5,2.6507,159.49,317.83,0.298
0.3464,0.2307,0.7693,1.5,1.5,1.7659,133.93,575.05,0.248
0.1436,0.2425,0.7575,1.5,1.5,1.2346,161.14,638.3,0.215
0.2107,0.224,0.776,1.5,1.5,1.4954,123.81,497.63,0.216
0.1527,0.2806,0.7194,1.5,1.5,2.6429,273.94,665.43,0.215
0.298,0.1685,0.8315,1.5,1.5,2.0985,215.81,511.3,0.215
0.1866,0.2206,0.7794,1.5,1.5,0.9753,196.13,535.88,0.254
0.2037,0.157,0.843,1.5,1.5,1.8254,182.65,388.47,0.278
0.1319,0.2332,0.7668,1.5,1.5,0.8487,204.86,503.0,0.233
0.0861,0.5501,0.4499,1.5,1.5,1.119,133.79,633.66,0.239
1.2081,0.1857,0.8143,1.5,1.5,1.819,163.39,621.17,0.257
0.1938,0.4016,0.5984,1.5,1.5,3.2562,243.42,541.65,0.243
0.1749,0.1475,0.8525,1.5,1.5,1.8394,159.84,358.34,0.161
0.134,0.4011,0.5989,1.5,1.5,2.9275,128.57,621.33,0.238
0.1752,0.5141,0.4859,1.5,1.5,2.2342,220.32,556.74,0.251
0.6018,0.1515,0.8485,1.5,1.5,1.102,175.36,563.06,0.223
0.1886,0.1628,0.8372,1.5,1.5,1.171,142.99,486.24,0.282
0.9987,0.1431,0.8569,1.5,1.5,1.8258,245.36,635.65,0.271
0.2655,0.175,0.825,1.5,1.5,2.6063,234.63,480.73,0.247
0.2077,0.3197,0.6803,1.5,1.5,1.9296,153.81,538.2,0.213
0.2029,0.1459,0.8541,1.5,1.5,2.1618,155.27,307.54,0.184
0.1761,0.5593,0.4407,1.5,1.5,3.2937,163.61,582.45,0.27
0.3277,0.222,0.778,1.5,1.5,2.9898,158.58,403.75,0.278
0.1736,0.2524,0.7476,1.5,1.5,0.8967,149.68,665.06,0.274
0.1371,0.3085,0.6915,1.5,1.5,0.5582,154.92,692.87,0.249
0.1131,0.5705,0.4295,1.5,1.5,4.428,270.51,685.04,0.203
0.2227,0.2674,0.7326,1.5,1.5,2.2909,290.2,658.16,0.182
0.1682,0.23,0.77,1.5,1.5,1.586,145.05,569.03,0.199
0.2311,0.4985,0.5015,1.5,1.5,3.8071,191.82,686.86,0.215
0.2359,0.1654,0.8346,1.5,1.5,1.136,203.71,471.71,0.286
0.1166,0.4062,0.5938,1.5,1.5,2.2049,164.72,482.28,0.219
0.1808,0.2017,0.7983,1.5,1.5,0.669,123.9,695.29,0.231
0.2514,0.1567,0.8433,1.5,1.5,1.9636,246.64,543.68,0.263
0.47,0.1606,0.8394,1.5,1.5,3.209,278.74,680.68,0.188
0.1507,0.1614,0.8386,1.5,1.5,1.8771,141.46,476.3,0.239
0.4143,0.2303,0.7697,1.5,1.5,2.2637,143.39,390.46,0.186
0.2523,0.2298,0.7702,1.5,1.5,1.9167,216.65,579.89,0.184
0.3578,0.3495,0.6505,1.5,1.5,4.0572,121.62,582.51,0.272
0.1768,0.349,0.651,1.5,1.5,2.6946,139.12,414.86,0.291
0.163,0.1439,0.8561,1.5,1.5,1.162,191.65,428.67,0.259
0.1317,0.3002,0.6998,1.5,1.5,2.0316,173.69,671.41,0.189
1.0996,0.1819,0.8181,1.5,1.5,6.8624,187.57,522.82,0.204
0.1204,0.3284,0.6716,1.5,1.5,1.4087,152.57,687.57,0.185
0.1841,0.1513,0.8487,1.5,1.5,1.6181,180.91,642.5,0.222
0.2906,0.2484,0.7516,1.5,1.5,1.6742,174.3,433.92,0.202
0.3788,0.2212,0.7788,1.5,1.5,3.4529,182.75,673.01,0.248
0.2008,0.2256,0.7744,1.5,1.5,2.5445,187.17,613.23,0.219
0.231,0.2259,0.7741,1.5,1.5,1.6162,194.95,561.7,0.197
0.1918,0.5411,0.4589,1.5,1.5,4.4347,121.95,426.74,0.227
0.2915,0.2475,0.7525,1.5,1.5,2.8258,227.71,661.9,0.253
0.2736,0.2518,0.7482,1.5,1.5,2.0656,131.5,652.69,0.187
0.1252,0.3429,0.6571,1.5,1.5,1.5921,136.37,486.75,0.207
0.2532,0.5068,0.4932,1.5,1.5,4.0782,225.51,568.03,0.251
0.4931,0.1844,0.8156,1.5,1.5,2.8076,202.5,698.2,0.296
0.4104,0.2367,0.7633,1.5,1.5,0.7784,213.75,672.26,0.211
0.1286,0.3173,0.6827,1.5,1.5,1.7524,245.27,657.8,0.259
0.123,0.3971,0.6029,1.5,1.5,1.018,137.25,427.56,0.225
0.1759,0.2084,0.7916,1.5,1.5,0.6537,205.8,464.13,0.273
0.1539,0.2916,0.7084,1.5,1.5,1.488,266.84,673.74,0.19
0.2005,0.1777,0.8223,1.5,1.5,0.875,201.97,479.08,0.266
0.1611,0.152,0.848,1.5,1.5,1.2829,194.36,657.4,0.296
0.1512,0.2282,0.7718,1.5,1.5,1.3868,142.21,685.19,0.228
0.1523,0.2664,0.7336,1.5,1.5,2.3954,225.64,654.97,0.256
0.0961,0.4669,0.5331,1.5,1.5,0.6925,126.62,631.81,0.261
0.2758,0.1436,0.8564,1.5,1.5,1.7271,204.14,625.92,0.21
0.5153,0.547,0.453,1.5,1.5,6.406,209.08,599.74,0.16
0.2694,0.1906,0.8094,1.5,1.5,1.3964,132.32,620.95,0.229
0.3815,0.2272,0.7728,1.5,1.5,2.4169,187.84,410.34,0.259
0.1612,0.2918,0.7082,1.5,1.5,2.1503,226.55,562.39,0.271
0.1372,0.2134,0.7866,1.5,1.5,0.5378,208.53,651.94,0.239
0.5885,0.1861,0.8139,1.5,1.5,4.959,190.18,540.43,0.224
0.7714,0.153,0.847,1.5,1.5,4.6119,133.28,693.36,0.188
0.1995,0.3138,0.6862,1.5,1.5,3.239,267.77,633.55,0.216
0.199,0.5391,0.4609,1.5,1.5,1.2961,136.98,513.19,0.223
0.3491,0.1615,0.8385,1.5,1.5,2.7337,253.95,680.17,0.193
0.2229,0.234,0.766,1.5,1.5,2.9581,144.58,335.59,0.164
0.3422,0.3447,0.6553,1.5,1.5,1.7804,123.0,677.94,0.182
0.4775,0.3811,0.6189,1.5,1.5,2.1664,122.04,578.47,0.218
0.1544,0.1633,0.8367,1.5,1.5,1.2297,212.76,595.89,0.171
0.1481,0.3596,0.6404,1.5,1.5,1.4496,263.32,694.54,0.188
0.3795,0.2831,0.7169,1.5,1.5,4.1931,163.25,621.11,0.207
0.1706,0.4268,0.5732,1.5,1.5,2.9144,238.64,524.73,0.267
0.183,0.3646,0.6354,1.5,1.5,2.503,277.5,632.81,0.232
0.1471,0.2255,0.7745,1.5,1.5,1.2327,180.65,518.81,0.181
0.3982,0.1546,0.8454,1.5,1.5,2.3914,166.17,670.86,0.163
0.2027,0.1522,0.8478,1.5,1.5,1.7768,125.38,352.45,0.281
0.2845,0.1881,0.8119,1.5,1.5,2.8728,252.02,678.42,0.276
0.3341,0.2008,0.7992,1.5,1.5,2.8388,278.76,677.22,0.202
0.1996,0.2045,0.7955,1.5,1.5,1.7383,199.45,560.26,0.273
0.227,0.2053,0.7947,1.5,1.5,2.803,162.91,498.6,0.291
1.2725,0.183,0.817,1.5,1.5,7.9896,127.63,421.38,0.2
0.1327,0.2074,0.7926,1.5,1.5,0.45,225.21,648.01,0.226
1.2368,0.1714,0.8286,1.5,1.5,7.1351,142.71,540.88,0.258
0.2341,0.1837,0.8163,1.5,1.5,2.4086,294.83,581.69,0.246
0.5371,0.1713,0.8287,1.5,1.5,2.4878,151.45,424.36,0.273
0.1264,0.313,0.687,1.5,1.5,1.9643,156.91,615.06,0.226
0.101,0.5255,0.4745,1.5,1.5,1.0825,132.58,492.72,0.295
0.4451,0.1984,0.8016,1.5,1.5,2.4484,140.08,591.71,0.232
0.2318,0.2324,0.7676,1.5,1.5,2.7984,123.37,417.09,0.291
0.2264,0.1646,0.8354,1.5,1.5,0.9503,148.79,441.84,0.254
0.1565,0.2277,0.7723,1.5,1.5,1.017,185.42,462.96,0.201
0.2388,0.2874,0.7126,1.5,1.5,1.1765,186.14,532.55,0.242
0.122,0.5187,0.4813,1.5,1.5,2.9249,147.25,355.34,0.281
0.2085,0.2723,0.7277,1.5,1.5,3.0909,169.8,354.6,0.252
0.6465,0.179,0.821,1.5,1.5,4.2403,195.18,526.77,0.185
0.5515,0.1695,0.8305,1.5,1.5,3.0309,177.12,659.08,0.298
0.1996,0.1514,0.8486,1.5,1.5,2.0802,142.55,286.56,0.256
0.4189,0.3934,0.6066,1.5,1.5,1.8082,151.08,565.52,0.264
0.1703,0.1588,0.8412,1.5,1.5,0.7946,240.75,564.04,0.272
0.1333,0.2892,0.7108,1.5,1.5,1.5741,163.73,583.24,0.22
0.4528,0.3679,0.6321,1.5,1.5,3.1063,198.32,447.17,0.211
0.1553,0.3407,0.6593,1.5,1.5,1.7486,132.68,637.03,0.239
0.3298,0.1859,0.8141,1.5,1.5,2.008,135.71,618.46,0.166
0.2005,0.5811,0.4189,1.5,1.5,3.7869,147.99,585.5,0.28
0.2756,0.2038,0.7962,1.5,1.5,2.9602,295.37,619.28,0.295
0.1379,0.1865,0.8135,1.5,1.5,1.4798,180.45,446.73,0.23
0.0997,0.404,0.596,1.5,1.5,2.096,291.82,669.02,0.205
0.2523,0.2682,0.7318,1.5,1.5,2.3857,245.89,515.08,0.224
0.1965,0.3845,0.6155,1.5,1.5,2.0149,196.1,595.62,0.245
0.1227,0.318,0.682,1.5,1.5,2.5808,223.13,654.85,0.224
0.1573,0.1449,0.8551,1.5,1.5,0.6966,182.32,662.45,0.263
0.9662,0.1527,0.8473,1.5,1.5,3.6519,168.02,644.99,0.275
0.5884,0.3104,0.6896,1.5,1.5,4.156,134.25,489.94,0.269
0.1853,0.3176,0.6824,1.5,1.5,1.8522,158.67,513.3,0.175
0.1281,0.2843,0.7157,1.5,1.5,0.8442,149.56,626.11,0.241
0.3263,0.2701,0.7299,1.5,1.5,2.1767,182.55,396.09,0.22
0.4116,0.4653,0.5347,1.5,1.5,5.4177,200.38,665.52,0.286
0.2917,0.1837,0.8163,1.5,1.5,2.9692,156.46,444.23,0.296
0.081,0.5631,0.4369,1.5,1.5,2.4435,183.84,588.25,0.223
0.4702,0.2012,0.7988,1.5,1.5,1.5602,156.79,449.55,0.273
0.1168,0.5525,0.4475,1.5,1.5,3.9964,144.8,525.06,0.235
0.1535,0.1821,0.8179,1.5,1.5,0.959,169.79,464.77,0.214
0.2819,0.2392,0.7608,1.5,1.5,2.8836,175.42,362.44,0.223
0.3053,0.4107,0.5893,1.5,1.5,2.012,186.91,528.98,0.256
0.6565,0.2326,0.7674,1.5,1.5,3.6051,238.21,615.97,0.235
0.1141,0.4819,0.5181,1.5,1.5,2.4868,247.5,699.02,0.204
0.2119,0.1584,0.8416,1.5,1.5,0.6403,155.04,470.49,0.282
0.1929,0.3687,0.6313,1.5,1.5,2.2416,120.25,371.02,0.187
0.1815,0.5587,0.4413,1.5,1.5,2.4321,250.6,677.34,0.26
0.1988,0.2507,0.7493,1.5,1.5,1.6841,131.96,331.23,0.201
0.4444,0.2925,0.7075,1.5,1.5,4.3846,283.4,625.33,0.299
0.2581,0.2762,0.7238,1.5,1.5,0.9838,149.5,447.1,0.286
0.1632,0.193,0.807,1.5,1.5,0.4089,195.81,488.82,0.282
0.1684,0.2178,0.7822,1.5,1.5,0.7407,130.9,643.54,0.254
0.1802,0.2014,0.7986,1.5,1.5,1.9456,261.1,685.53,0.186
0.3033,0.1438,0.8562,1.5,1.5,2.072,203.35,447.33,0.282
0.1785,0.3712,0.6288,1.5,1.5,1.6804,265.93,653.2,0.227
0.9709,0.1767,0.8233,1.5,1.5,6.7397,180.15,553.21,0.243
0.6342,0.1634,0.8366,1.5,1.5,3.2011,146.45,350.84,0.209
0.1555,0.1831,0.8169,1.5,1.5,1.7783,135.13,473.45,0.168
0.1476,0.1737,0.8263,1.5,1.5,1.5837,156.05,402.88,0.259
0.305,0.1439,0.8561,1.5,1.5,2.3324,168.76,645.99,0.244
0.2965,0.1507,0.8493,1.5,1.5,0.8627,139.33,336.03,0.266
0.1242,0.3922,0.6078,1.5,1.5,1.2646,159.06,363.29,0.272
0.096,0.4252,0.5748,1.5,1.5,1.3289,200.35,553.0,0.294
0.4112,0.2377,0.7623,1.5,1.5,1.2711,127.27,435.59,0.234
0.2667,0.2959,0.7041,1.5,1.5,3.0599,150.51,516.25,0.221
0.0947,0.4909,0.5091,1.5,1.5,3.6565,192.29,503.32,0.266
0.264,0.1918,0.8082,1.5,1.5,1.5521,224.9,630.31,0.196
0.2935,0.3361,0.6639,1.5,1.5,3.6757,153.04,399.5,0.274
0.2346,0.2153,0.7847,1.5,1.5,1.5495,173.76,598.15,0.194
1.1235,0.1833,0.8167,1.5,1.5,7.801,132.99,691.81,0.251
0.2304,0.2036,0.7964,1.5,1.5,1.148,259.37,611.98,0.287
0.2143,0.254,0.746,1.5,1.5,2.6722,139.08,669.91,0.247
0.152,0.1684,0.8316,1.5,1.5,1.9202,142.94,396.05,0.291
0.3077,0.2501,0.7499,1.5,1.5,0.7168,127.35,699.82,0.213
0.2116,0.1675,0.8325,1.5,1.5,1.5471,149.43,464.36,0.248
1.0065,0.3186,0.6814,1.5,1.5,4.7254,220.24,637.35,0.258
0.1367,0.2715,0.7285,1.5,1.5,2.3811,179.29,574.47,0.282
0.2651,0.245,0.755,1.5,1.5,2.5904,190.36,486.19,0.214
0.1676,0.1911,0.8089,1.5,1.5,1.0004,182.0,521.0,0.285
0.4761,0.145,0.855,1.5,1.5,2.3681,210.89,549.23,0.262
0.2138,0.1567,0.8433,1.5,1.5,1.7364,253.72,541.8,0.231
0.6292,0.245,0.755,1.5,1.5,1.1784,205.58,509.36,0.257
0.1571,0.1784,0.8216,1.5,1.5,2.1091,255.92,676.31,0.193
0.2085,0.1757,0.8243,1.5,1.5,1.9692,144.91,326.28,0.259
0.5186,0.4212,0.5788,1.5,1.5,5.4379,172.01,515.86,0.179
0.3065,0.1456,0.8544,1.5,1.5,0.674,124.48,536.32,0.291
0.2371,0.5283,0.4717,1.5,1.5,4.5942,120.23,577.0,0.268
0.4983,0.2516,0.7484,1.5,1.5,4.4279,240.61,588.17,0.193
0.146,0.5886,0.4114,1.5,1.5,4.1636,226.41,505.71,0.209
0.2365,0.2527,0.7473,1.5,1.5,0.9622,179.86,530.58,0.224
0.232,0.1617,0.8383,1.5,1.5,1.6422,211.8,667.59,0.275
0.2204,0.2222,0.7778,1.5,1.5,1.2636,241.81,579.79,0.234
0.1337,0.4078,0.5922,1.5,1.5,2.5815,296.71,649.65,0.218
0.1067,0.4831,0.5169,1.5,1.5,2.6211,147.85,492.52,0.184
0.2571,0.2993,0.7007,1.5,1.5,2.741,210.3,500.47,0.223
0.1285,0.3814,0.6186,1.5,1.5,2.9019,262.64,671.83,0.242
0.1476,0.185,0.815,1.5,1.5,1.1473,212.4,673.34,0.216
0.5356,0.2169,0.7831,1.5,1.5,3.7906,138.61,521.21,0.227
0.1229,0.4191,0.5809,1.5,1.5,1.5133,147.87,414.29,0.214
0.2855,0.3482,0.6518,1.5,1.5,1.4163,171.44,670.33,0.19
0.1788,0.1714,0.8286,1.5,1.5,1.2935,136.47,460.65,0.233
0.1959,0.2328,0.7672,1.5,1.5,1.958,187.48,619.39,0.177
0.1593,0.3037,0.6963,1.5,1.5,2.4802,145.37,678.61,0.164
0.1771,0.1542,0.8458,1.5,1.5,0.7466,171.77,378.06,0.219
0.1706,0.4653,0.5347,1.5,1.5,2.7148,240.66,684.56,0.229
1.1795,0.1484,0.8516,1.5,1.5,6.4005,140.43,499.02,0.265
0.3068,0.1499,0.8501,1.5,1.5,0.9404,226.47,627.01,0.276
0.3891,0.4144,0.5856,1.5,1.5,3.6745,273.21,605.11,0.213
0.1742,0.1835,0.8165,1.5,1.5,1.2923,123.75,608.2,0.229
0.1893,0.3293,0.6707,1.5,1.5,0.714,138.28,698.77,0.28
0.1565,0.2091,0.7909,1.5,1.5,1.3566,122.48,408.92,0.247
0.1556,0.2019,0.7981,1.5,1.5,1.9809,219.04,640.24,0.164
0.1473,0.6057,0.3943,1.5,1.5,4.0551,148.73,389.45,0.246
0.625,0.3706,0.6294,1.5,1.5,3.6081,141.4,521.77,0.293
0.2298,0.21,0.79,1.5,1.5,1.8017,136.34,457.18,0.286
0.1291,0.2904,0.7096,1.5,1.5,2.0779,124.06,451.94,0.176
0.7457,0.2408,0.7592,1.5,1.5,5.1213,203.99,643.91,0.253
0.1561,0.2366,0.7634,1.5,1.5,1.618,170.26,694.73,0.292
0.3229,0.4921,0.5079,1.5,1.5,4.1891,272.74,668.71,0.181
0.4093,0.3213,0.6787,1.5,1.5,4.0508,156.55,671.77,0.294
0.1586,0.3154,0.6846,1.5,1.5,0.9327,231.12,625.3,0.266
0.5867,0.2303,0.7697,1.5,1.5,0.9289,221.92,596.54,0.248
0.4631,0.3674,0.6326,1.5,1.5,1.8337,243.22,644.03,0.272
0.1369,0.1935,0.8065,1.5,1.5,0.7048,136.45,420.97,0.296
0.1263,0.4371,0.5629,1.5,1.5,2.1678,202.14,424.67,0.289
0.5857,0.1877,0.8123,1.5,1.5,4.4081,138.03,469.09,0.254
1.0037,0.1779,0.8221,1.5,1.5,6.5335,166.54,528.34,0.22
0.1524,0.1458,0.8542,1.5,1.5,0.5943,266.54,577.46,0.239
0.153,0.215,0.785,1.5,1.5,1.7705,183.28,645.25,0.18
0.2592,0.2002,0.7998,1.5,1.5,2.548,227.96,453.74,0.23
0.275,0.5721,0.4279,1.5,1.5,1.69,218.86,529.71,0.276
0.1181,0.4715,0.5285,1.5,1.5,2.7378,206.16,644.43,0.197
0.1404,0.1606,0.8394,1.5,1.5,1.5995,235.53,639.15,0.288
0.3785,0.1545,0.8455,1.5,1.5,2.3174,201.11,574.18,0.241
0.1311,0.3212,0.6788,1.5,1.5,1.9973,148.56,398.54,0.232
0.6747,0.158,0.842,1.5,1.5,0.9376,168.87,665.43,0.244
0.3025,0.2595,0.7405,1.5,1.5,1.1673,280.67,622.87,0.253
0.3615,0.1783,0.8217,1.5,1.5,1.5067,205.85,669.62,0.279
0.1365,0.2627,0.7373,1.5,1.5,0.9174,124.94,534.81,0.271
0.2125,0.211,0.789,1.5,1.5,2.248,239.09,664.54,0.234
0.2397,0.2002,0.7998,1.5,1.5,2.4554,243.21,554.43,0.182
0.6892,0.5507,0.4493,1.5,1.5,6.1136,205.04,497.85,0.279
0.2607,0.1833,0.8167,1.5,1.5,2.5996,139.43,409.81,0.298
0.2428,0.15,0.85,1.5,1.5,1.2507,140.24,341.72,0.211
0.1765,0.2978,0.7022,1.5,1.5,1.5613,146.66,594.75,0.289
0.2749,0.3771,0.6229,1.5,1.5,1.9403,273.3,698.52,0.235
0.3592,0.2737,0.7263,1.5,1.5,3.1773,271.42,571.33,0.236
0.2339,0.2037,0.7963,1.5,1.5,2.6607,132.79,634.72,0.191
0.2355,0.1557,0.8443,1.5,1.5,2.3893,203.61,501.89,0.272
0.4011,0.2223,0.7777,1.5,1.5,3.7028,173.99,673.5,0.299
0.6212,0.1949,0.8051,1.5,1.5,4.1043,235.15,622.61,0.216
0.1189,0.3762,0.6238,1.5,1.5,1.5384,131.53,693.75,0.202
0.1167,0.3266,0.6734,1.5,1.5,1.9825,184.61,509.64,0.209
0.3853,0.2517,0.7483,1.5,1.5,2.5277,166.35,629.53,0.168
0.26,0.2172,0.7828,1.5,1.5,1.3299,232.47,646.86,0.238
0.2969,0.1586,0.8414,1.5,1.5,1.7811,235.65,643.08,0.267
0.1573,0.1528,0.8472,1.5,1.5,1.6489,174.68,600.72,0.251
0.1045,0.5305,0.4695,1.5,1.5,3.0489,149.41,516.01,0.262
0.1983,0.1542,0.8458,1.5,1.5,2.1153,187.22,479.82,0.277
0.2539,0.1475,0.8525,1.5,1.5,2.0634,190.21,455.23,0.275
0.2967,0.1725,0.8275,1.5,1.5,2.2629,171.14,360.8,0.204
0.4358,0.1867,0.8133,1.5,1.5,2.0501,223.47,593.42,0.227
0.1708,0.1544,0.8456,1.5,1.5,1.4398,290.24,600.89,0.289
0.2925,0.2171,0.7829,1.5,1.5,2.8061,240.29,490.55,0.292
0.1518,0.1573,0.8427,1.5,1.5,0.5357,194.04,510.75,0.215
0.1717,0.3257,0.6743,1.5,1.5,2.755,126.3,401.13,0.293
0.2017,0.222,0.778,1.5,1.5,2.6751,244.03,664.73,0.165
0.1716,0.2164,0.7836,1.5,1.5,2.5196,175.05,683.19,0.272
